gene,coef
Intercept,34.3051221948726
ENSG00000172543,5.84717793568972
ENSG00000173114,-21.5955448684396
ENSG00000124256,1.46244820796093
ENSG00000241990,10.5502194251677
ENSG00000155366,4.08153909602074
ENSG00000197448,3.25572552674735
ENSG00000125384,4.86496821592314
ENSG00000100300,3.83656429024283
ENSG00000158856,9.57610791754602
ENSG00000106952,7.98115694169192
ENSG00000187514,-5.65786725698797
ENSG00000146674,16.2484590332391
ENSG00000196154,1.88822378419825
ENSG00000143815,0
ENSG00000181036,-1.08140732669326
ENSG00000124766,-17.4480356817577
ENSG00000232021,-10.2417146871642
ENSG00000105472,-20.3886019291341
ENSG00000183918,-3.09096270783609
ENSG00000106355,-1.43396432291411
ENSG00000159674,-0.366931893675788
ENSG00000158813,17.4806790836614
ENSG00000062582,-0.253057962126809
ENSG00000153140,0
ENSG00000183814,0
ENSG00000198888,2.16500734472585
ENSG00000139537,2.43040248046809
ENSG00000180875,25.2251732864604
ENSG00000153179,-1.5791156162146
ENSG00000137441,1.00088744456611
ENSG00000166405,3.95164834611127
ENSG00000178966,-6.87201694835685
ENSG00000101230,6.38128962794962
ENSG00000135535,0.493934296050477
ENSG00000077454,-1.62155507159332
ENSG00000100450,6.63909730434864
ENSG00000112242,-4.47134550994753
ENSG00000203896,0.620051026707515
ENSG00000177425,-14.6769898147629
ENSG00000110934,-2.45770834569246
ENSG00000156136,-2.95481992764929
ENSG00000164414,0
ENSG00000232859,1.92312427980807
ENSG00000266964,0
ENSG00000151414,-0.0680905917669923
ENSG00000077232,-3.46334833511316
ENSG00000096996,2.68246938288777
ENSG00000263417,34.1742228972983
ENSG00000108590,-2.30712925074588
ENSG00000165389,-3.72499877644136
ENSG00000196169,-0.00972862186530007
ENSG00000105374,-0.249150709817054
ENSG00000205336,3.19766721495729
ENSG00000105829,-0.317339720038912
ENSG00000241553,0.479496001333605
ENSG00000009780,0.600655729448815
ENSG00000265808,-0.407268122626147
ENSG00000185905,-1.22945818937935
ENSG00000072135,2.42556246940868
ENSG00000088035,0.0432719754357686
ENSG00000137752,3.91105900930828
ENSG00000125629,-4.44524005997871
ENSG00000170310,1.91805431172626
ENSG00000085563,-8.14485928351733
ENSG00000117054,-0.547999097378067
ENSG00000135318,-11.8662183389037
ENSG00000111863,8.91876172024913
ENSG00000126264,1.19972652245788
ENSG00000185220,-3.67473274155192
ENSG00000095002,-1.63678797004838
ENSG00000115523,0.251964360905571
ENSG00000182117,-1.895237845253
ENSG00000235576,4.33928375467514
ENSG00000084073,-3.58057090018499
ENSG00000112983,0
