probe,ref_mean
cg00112187,0.8499678448730887
cg00151250,0.789761089387928
cg00359421,0.9717597609504153
cg00513564,0.8480138104804418
cg00532802,0.24755939058262036
cg00574958,0.10972075755692791
cg00668559,0.1898852257239974
cg00782811,0.39093138433463503
cg00835193,0.9168688056148485
cg01055871,0.27083972021626807
cg01101459,0.8736696325841127
cg01360413,0.514724884036196
cg01554316,0.9619479966111949
cg01936220,0.2575877641187038
cg02004723,0.9432588276732332
cg02079413,0.8989191043041479
cg02229095,0.5808898698719791
cg02300147,0.1242693996088506
cg02307277,0.8932207211244332
cg02571857,0.6638228904263305
cg02650017,0.09830894494804308
cg02949067,0.8640316497494335
cg02997983,0.08535902315206642
cg03604011,0.07942500721274309
cg03776935,0.74730249284433925
cg03810769,0.8737263989611141
cg03868770,0.7534216033511237
cg04051458,0.09034449086511967
cg04105250,0.10948684436801634
cg04305539,0.6611683137783714
cg04565261,0.07963988983022272
cg04600984,0.8716198528495195
cg04624885,0.8013417384828861
cg04927537,0.6233050222431409
cg05068951,0.5791943681298866
cg05085844,0.8721680676300866
cg05239308,0.12545126997450623
cg05304729,0.3604458371662711
cg05487507,0.8661479717580036
cg05492170,0.3244401645752531
cg05671350,0.3040308515993773
cg05991820,0.6794813004103994
cg06182811,0.9145364625794926
cg06230206,0.5261287164378216
cg06458557,0.9285124713782984
cg06500161,0.7116781245330591
cg06570125,0.9055656277209109
cg06797880,0.5675131021423027
cg06961233,0.49228751066941473
cg07019072,0.8252171916030755
cg07075169,0.2843588187379083
cg07123481,0.8915748292436823
cg07244253,0.1550886269232927
cg07471256,0.8440649568228912
cg07550819,0.870913456421932
cg07589381,0.7962601608365254
cg08011245,0.9318669006431863
cg08225398,0.04563199328543653
cg08335662,0.6194106106583046
cg08790676,0.11395812787827789
cg09022325,0.9110189649544803
cg09233395,0.2531929354132293
cg09349128,0.38169236589390915
cg09423875,0.8417012938106215
cg09626521,0.2624557906137058
cg09756865,0.09621003742990851
cg09760057,0.8819275578990267
cg09867945,0.7781026731882495
cg09933458,0.25581772050505425
cg09974965,0.7164938342015313
cg10017843,0.26548952420285604
cg10026495,0.9026147843843012
cg10053507,0.6896357421835955
cg10365246,0.8455442212786213
cg10919522,0.31033863716997806
cg11095122,0.7801583203070095
cg11103390,0.35268341287339255
cg11202345,0.28357908019642114
cg11452501,0.7605436483170946
cg11787522,0.4579033786244433
cg11835347,0.4480436300435564
cg12041401,0.45821414979963043
cg12446629,0.4058365186157154
cg12547807,0.40484437937329826
cg12820481,0.33337707611343836
cg13274938,0.8318522849760969
cg13300580,0.58543926920845335
cg13548189,0.9104134557209816
cg13586425,0.8005546303885989
cg13614083,0.9092833805780552
cg13702222,0.4286674871144923
cg13945148,0.7165131056783023
cg14110709,0.7802810088490155
cg14200569,0.13818592075147515
cg14702960,0.8796866435098463
cg14816825,0.8473522207156414
cg14851284,0.8486703383741658
cg14876603,0.6993884410928991
cg14893274,0.686667249843788
cg15192750,0.0529268924056151
cg15815084,0.7190471044265815
cg15829969,0.7275656129513521
cg15919431,0.26569116776290874
cg15948836,0.37961864861996963
cg16098955,0.8766029005496818
cg16413763,0.7618692482990783
cg16416715,0.21803623153813048
cg16609260,0.20718696546177107
cg16739178,0.7360589492609652
cg16924010,0.1824240255954988
cg16969872,0.7985588818852684
cg17018786,0.6275195134308301
cg17061862,0.7621871185762001
cg17439800,0.3687658245044381
cg17460386,0.42605236779546807
cg17501210,0.8496240789979348
cg17749946,0.9203470526368684
cg17765387,0.7924979207101135
cg17804112,0.593019638570286
cg17841545,0.9023235176446222
cg17901584,0.5928847401523903
cg17966227,0.8826295291930462
cg18181703,0.6011011876748651
cg18500368,0.21763961660498915
cg18513344,0.33040590850290974
cg18519757,0.6197352442032579
cg20025658,0.16743965526119103
cg20964064,0.5666157809655408
cg21355338,0.9250670157273292
cg21439498,0.09657308870390173
cg21486834,0.8618505914112994
cg21566642,0.6445599000058022
cg21787176,0.750253749453612
cg21885107,0.2629238344203147
cg22029879,0.8558030998471504
cg22036538,0.4273398414023671
cg22157099,0.6877340367871759
cg22367678,0.19920792515400118
cg22488164,0.8257010677686938
cg22891595,0.7680117383644505
cg22912834,0.3998478376922299
cg23119487,0.6625861705289603
cg23152235,0.12221820217024855
cg23798387,0.14003670896354847
cg23966795,0.9103423102098852
cg23997508,0.8016253573926553
cg24125710,0.5886830906860545
cg24174557,0.3172028151124536
cg24268161,0.5067724405942967
cg24318091,0.16969295156071743
cg24352561,0.8353270020582524
cg24396875,0.8424902779794881
cg24403644,0.8767253530272255
cg24531955,0.2717701271436188
cg24737193,0.8994143873728251
cg24865132,0.19531574297590049
cg24891125,0.9268899866108984
cg25243766,0.5264296861388478
cg25368647,0.6896691196676811
cg25427524,0.7018609645659343
cg25683495,0.8580305536905758
cg25751054,0.7153076769260933
cg25772418,0.8457418545601515
cg25923729,0.6390132226783086
cg26094651,0.745542564384289
cg26180383,0.7047631872137551
cg26264318,0.183777752461086
cg26275850,0.9483167637176035
cg26470501,0.660695202242804
cg26497348,0.30051444311056424
cg26981978,0.6807283772299569
cg27113548,0.7383499387997997
cg27165794,0.11720565445168007
cg21879513,0.1704877096207187
cg04945457,0.061329097988669985
cg20840174,0.6376384801307018
cg01429449,0.2321262107680458
cg02332525,0.2656376265435718
cg15284635,0.5893354658953281
cg18456459,0.20784464103973802
cg04224064,0.31734867949973794
cg19722698,0.5024765962650234
cg21744417,0.9374847193928185
cg01093138,0.6974862948853009
cg09644356,0.8821345173469723
cg15234271,0.17227440933118426
cg27042294,0.9266232164907248
cg20595846,0.5259471157320126
cg26688911,0.6215474159980862
cg27413008,0.17066550393215577
cg25575145,0.9327782246552939
cg17425590,0.5636957710893952
cg07010222,0.9101794401499944
cg00254470,0.7520827900238757
cg26722733,0.7805917753393139
cg25246246,0.6004161489416191
cg03983213,0.05992707784589267
cg27081346,0.10236236117108344
cg05950877,0.09117300591568128
