probe,median_val
cg25137787,0.5478652077921957
cg08911391,0.29239862872019956
cg24685778,0.930132514949183
cg25551287,0.01455965629716448
cg15322207,0.041750674967930175
cg24604749,0.12505855344982394
cg03890680,0.7208197409169049
cg14601038,0.674156424930356
cg25587481,0.9110262627633005
cg23922134,0.11368263073105704
cg18561976,0.44138949299651487
cg08175029,0.054927558683429745
cg23202468,0.7820519142602472
cg06181470,0.854529327389659
cg14422932,0.7699655766039287
cg15128470,0.015873433282394645
cg13587180,0.7710133300543726
cg25440680,0.06887731987989801
cg16995193,0.9393390758789241
cg12864235,0.8192060254569355
cg23715435,0.017433680827746385
cg02805890,0.0688715501432334
cg06381959,0.37538293026736785
cg00779476,0.5934220705241253
cg25489467,0.02777569544344605
cg02376916,0.8260711685539115
cg17741339,0.21943975075196911
cg20219159,0.012773387248106331
cg19629631,0.8152368322721546
cg25577212,0.8756762676104544
cg03711622,0.03566941638998923
cg20960833,0.6979689977391376
cg24126888,0.7990818569537006
cg26212135,0.9528775149959795
cg02045451,0.891066147866022
cg25953130,0.5306879826089138
cg13736263,0.018090823082112188
cg14302224,0.07065304670659067
cg01044970,0.9476652364284667
cg09033333,0.6064333562285361
cg05864876,0.2747556893258836
cg03638795,0.18706587978111827
cg24702253,0.7372834642112431
cg12797157,0.9390539250994351
cg13151811,0.9552047456680022
cg19227606,0.9274649853874565
cg07205452,0.954915073666236
cg12801863,0.9492317082398695
cg02667103,0.810522589214146
cg25772418,0.8203943443041991
cg24019144,0.919118639418384
cg05174338,0.47091317387416665
cg03002480,0.014301398156781091
cg26386692,0.9418661552231872
cg08819417,0.9057687462163085
cg04362711,0.9289350518130917
cg04958045,0.9328163009175287
cg05097861,0.39687577692893894
cg22650022,0.9319620689143255
cg26781109,0.9253881877162924
cg20433952,0.5151479510069967
cg13745142,0.11683233966799307
cg11594666,0.9400583012835269
cg27637521,0.04814336590946033
cg03764274,0.5126343665672422
cg02404933,0.05662159041375656
cg19829375,0.8773180564783905
cg04727522,0.6393175596407902
cg03636183,0.7029772341382955
